id,name,set_name,set_release_date,rarity,hp,type,evolves_from,nb_attacks,is_holo,is_reverse,price_tcgplayer_low,price_tcgplayer_mid,price_tcgplayer_high,price_tcgplayer_market,price_cardmarket_low,price_cardmarket_trend,price_cardmarket_avg30,price_cardmarket_avg7,price_cardmarket_avg1,price_cardmarket_avg_sell,price_pricecharting,market_price,high_price,low_price,trend_price,year,rarity_encoded,set_age,price_range,hp_normalized,has_evolution,price_source_count,price_volatility,target
hgss4-1,Aggron,HS—Triumphant,2010/11/03,Rare Holo,140.0,Metal,Lairon,2,1,1,6.5,10.77,80.34,9.59,0.65,3.2,2.81,3.9,5.0,3.04,,6.824999999999999,80.34,0.65,3.2,2010,4,14,79.69,0.3684210526315789,1,4,11.676190476190477,0
xy5-1,Weedle,Primal Clash,2015/02/04,Common,50.0,Grass,,1,0,1,0.01,0.2,19.98,0.15,0.02,0.11,0.1,0.09,0.1,0.12,,0.13999999999999999,19.98,0.01,0.11,2015,1,9,19.97,0.13157894736842105,0,4,142.64285714285714,0
pl1-1,Ampharos,Platinum,2009/02/11,Rare Holo,130.0,Lightning,Flaaffy,2,1,1,15.09,36.49,389.5,28.64,0.99,4.57,4.31,4.21,4.5,4.85,,18.547499999999996,389.5,0.99,4.57,2009,4,15,388.51,0.34210526315789475,1,4,20.94675832322416,0
dp3-1,Ampharos,Secret Wonders,2007/11/01,Rare Holo,130.0,Lightning,Flaaffy,1,1,1,35.34,38.12,239.48,37.12,0.19,1.7,2.73,1.43,1.0,3.18,,19.962500000000002,239.48,0.19,1.7,2007,4,17,239.29,0.34210526315789475,1,4,11.98697557921102,0
det1-1,Bulbasaur,Detective Pikachu,2019/04/05,Common,60.0,Grass,,1,1,0,0.15,0.85,39.57,1.04,0.02,0.69,0.73,0.78,1.63,0.74,,0.8525,39.57,0.02,0.69,2019,1,5,39.55,0.15789473684210525,0,4,46.39296187683284,0
dv1-1,Dratini,Dragon Vault,2012/10/05,Rare Holo,40.0,Dragon,,1,1,0,1.99,3.79,96.02,3.57,0.15,2.29,2.62,2.99,3.0,3.24,,3.3975,96.02,0.15,2.29,2012,4,12,95.86999999999999,0.10526315789473684,0,4,28.21780721118469,0
mcd19-1,Caterpie,McDonald's Collection 2019,2019/10/15,,50.0,Grass,,1,1,0,12.0,13.99,581.88,12.47,0.4,1.89,2.47,2.25,2.25,1.62,,7.5825000000000005,581.88,0.4,1.89,2019,3,5,581.48,0.13157894736842105,0,4,76.68710847345862,0
pl3-1,Absol G,Supreme Victors,2009/08/19,Rare Holo,70.0,Darkness,,2,1,1,23.85,29.99,298.68,19.89,0.99,7.36,8.33,9.72,10.18,6.38,,16.495,298.68,0.99,7.36,2009,4,15,297.69,0.18421052631578946,0,4,18.047287056683842,0
ex12-1,Aerodactyl,Legend Maker,2006/02/01,Rare Holo,70.0,Colorless,Mysterious Fossil,2,1,1,39.0,95.54,311.2,83.08,5.0,26.09,21.76,24.94,9.99,22.62,,56.545,311.2,5.0,26.09,2006,4,18,306.2,0.18421052631578946,1,4,5.415156070386417,0
ex3-1,Absol,Dragon,2003/11/24,Rare Holo,70.0,Darkness,,2,1,1,110.0,207.92,2349.9,153.87,2.0,38.19,31.11,37.92,40.0,46.8,,111.6275,2349.9,2.0,38.19,2003,4,21,2347.9,0.18421052631578946,0,4,21.033347517412825,0
ru1-1,Venusaur,Pokémon Rumble,2009/12/02,,140.0,Grass,Ivysaur,1,1,0,199.99,279.95,279.96,264.96,55.0,108.7,70.56,122.0,125.0,131.55,,199.615,279.96,55.0,108.7,2009,3,15,224.95999999999998,0.3684210526315789,1,4,1.1269694161260424,0
ecard2-H1,Ampharos,Aquapolis,2003/01/15,Rare Holo,100.0,Lightning,Flaaffy,2,1,0,,,,,11.5,85.85,65.96,71.86,99.99,69.75,,70.805,69.75,11.5,85.85,2003,4,21,58.25,0.2631578947368421,1,2,0.8226820139820633,1
base4-1,Alakazam,Base Set 2,2000/02/24,Rare Holo,80.0,Psychic,Kadabra,1,1,0,27.99,49.37,199.99,53.19,11.99,27.43,32.92,29.09,18.0,33.08,,41.1825,199.99,11.99,27.43,2000,4,24,188.0,0.21052631578947367,1,4,4.5650458325745165,0
hgss1-1,Arcanine,HeartGold & SoulSilver,2010/02/10,Rare Holo,110.0,Fire,Growlithe,2,1,1,35.0,55.49,552.0,59.21,1.53,10.31,8.98,8.33,12.0,9.91,,33.235,552.0,1.53,10.31,2010,4,14,550.47,0.2894736842105263,1,4,16.56296073416579,0
ex11-1,Beedrill δ,Delta Species,2005/10/31,Rare Holo,90.0,Grass,Kakuna,1,1,1,22.93,49.45,71.79,43.96,1.5,11.49,12.57,10.45,10.0,12.65,,29.1275,71.79,1.5,11.49,2005,4,19,70.29,0.23684210526315788,1,4,2.4131834177323834,0
