Num_Acc,annee,dep,lat,long,lum,atm,col,circ,nbv,prof,surf,infra,situ,vma,catv,mois,jour,target
202000000078,2020,40,44.093041,-0.997696,2.0,6.0,6.0,3.0,3.0,1.0,2.0,0.0,4.0,130.0,7.0,2.0,25.0,1
202000000079,2020,33,44.63127,-0.92103,1.0,2.0,7.0,3.0,4.0,1.0,2.0,0.0,1.0,130.0,7.0,3.0,6.0,1
202000000080,2020,62,50.1322553,3.1079444,2.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,1.0,130.0,7.0,3.0,8.0,1
202000000080,2020,62,50.1322553,3.1079444,2.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,1.0,130.0,7.0,3.0,8.0,0
202000000080,2020,62,50.1322553,3.1079444,2.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,1.0,130.0,7.0,3.0,8.0,0
202000000080,2020,62,50.1322553,3.1079444,2.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,1.0,130.0,7.0,3.0,8.0,0
202000000080,2020,62,50.1322553,3.1079444,2.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,1.0,130.0,7.0,3.0,8.0,0
202000000080,2020,62,50.1322553,3.1079444,2.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,1.0,130.0,7.0,3.0,8.0,0
202000000080,2020,62,50.1322553,3.1079444,2.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,1.0,130.0,7.0,3.0,8.0,0
202000000080,2020,62,50.1322553,3.1079444,2.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,1.0,130.0,7.0,3.0,8.0,1
202000000091,2020,13,43.4079,5.2889,1.0,1.0,7.0,,3.0,1.0,1.0,0.0,1.0,90.0,7.0,3.0,6.0,1
202000000092,2020,13,43.3915,5.2622,1.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,110.0,7.0,3.0,6.0,1
202000000092,2020,13,43.3915,5.2622,1.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,110.0,7.0,3.0,6.0,1
202000000093,2020,13,43.511433,5.42063,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,110.0,7.0,3.0,6.0,1
202000000093,2020,13,43.511433,5.42063,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,110.0,7.0,3.0,6.0,0
202000000096,2020,78,48.970667,1.878833,3.0,1.0,5.0,3.0,3.0,1.0,1.0,0.0,1.0,130.0,7.0,3.0,7.0,0
202000000096,2020,78,48.970667,1.878833,3.0,1.0,5.0,3.0,3.0,1.0,1.0,0.0,1.0,130.0,7.0,3.0,7.0,1
202000000096,2020,78,48.970667,1.878833,3.0,1.0,5.0,3.0,3.0,1.0,1.0,0.0,1.0,130.0,7.0,3.0,7.0,0
202000000097,2020,93,48.92714,2.40298,3.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,1.0,50.0,7.0,3.0,6.0,1
202000000098,2020,92,48.94303,2.2889193,2.0,1.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,110.0,10.0,3.0,6.0,1
202000000098,2020,92,48.94303,2.2889193,2.0,1.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,110.0,10.0,3.0,6.0,0
202000000099,2020,92,48.93875,2.30946,1.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,90.0,7.0,3.0,6.0,1
202000000099,2020,92,48.93875,2.30946,1.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,90.0,7.0,3.0,6.0,0
202000000168,2020,57,49.3745,5.9813,1.0,1.0,6.0,3.0,4.0,1.0,1.0,0.0,3.0,110.0,7.0,9.0,21.0,1
202000000169,2020,57,49.32916,6.18543,1.0,1.0,4.0,3.0,4.0,1.0,1.0,0.0,1.0,110.0,7.0,9.0,20.0,1
202000000169,2020,57,49.32916,6.18543,1.0,1.0,4.0,3.0,4.0,1.0,1.0,0.0,1.0,110.0,7.0,9.0,20.0,1
202000000169,2020,57,49.32916,6.18543,1.0,1.0,4.0,3.0,4.0,1.0,1.0,0.0,1.0,110.0,7.0,9.0,20.0,0
202000000169,2020,57,49.32916,6.18543,1.0,1.0,4.0,3.0,4.0,1.0,1.0,0.0,1.0,110.0,7.0,9.0,20.0,1
202000000169,2020,57,49.32916,6.18543,1.0,1.0,4.0,3.0,4.0,1.0,1.0,0.0,1.0,110.0,7.0,9.0,20.0,1
202000000169,2020,57,49.32916,6.18543,1.0,1.0,4.0,3.0,4.0,1.0,1.0,0.0,1.0,110.0,7.0,9.0,20.0,0
202000000170,2020,33,44.81706,-0.67293,1.0,2.0,6.0,1.0,1.0,2.0,2.0,3.0,1.0,50.0,7.0,9.0,21.0,1
202000000171,2020,33,44.96965,-0.436024,1.0,1.0,5.0,3.0,6.0,2.0,1.0,0.0,1.0,130.0,17.0,9.0,21.0,0
202000000171,2020,33,44.96965,-0.436024,1.0,1.0,5.0,3.0,6.0,2.0,1.0,0.0,1.0,130.0,17.0,9.0,21.0,0
202000000171,2020,33,44.96965,-0.436024,1.0,1.0,5.0,3.0,6.0,2.0,1.0,0.0,1.0,130.0,17.0,9.0,21.0,1
202000000172,2020,59,50.676572,2.859438,4.0,1.0,6.0,3.0,4.0,1.0,1.0,0.0,1.0,110.0,33.0,9.0,20.0,1
202000000173,2020,91,48.72516,2.30005,1.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,90.0,7.0,9.0,21.0,1
202000000174,2020,94,48.75924,2.32538,1.0,1.0,4.0,1.0,3.0,1.0,1.0,0.0,1.0,90.0,7.0,9.0,21.0,0
202000000174,2020,94,48.75924,2.32538,1.0,1.0,4.0,1.0,3.0,1.0,1.0,0.0,1.0,90.0,7.0,9.0,21.0,1
202000000174,2020,94,48.75924,2.32538,1.0,1.0,4.0,1.0,3.0,1.0,1.0,0.0,1.0,90.0,7.0,9.0,21.0,0
202000000175,2020,91,48.67859,2.33572,1.0,1.0,4.0,1.0,3.0,1.0,1.0,0.0,2.0,110.0,7.0,9.0,21.0,0
202000000175,2020,91,48.67859,2.33572,1.0,1.0,4.0,1.0,3.0,1.0,1.0,0.0,2.0,110.0,7.0,9.0,21.0,1
202000000175,2020,91,48.67859,2.33572,1.0,1.0,4.0,1.0,3.0,1.0,1.0,0.0,2.0,110.0,7.0,9.0,21.0,0
202000000176,2020,91,48.57555,2.46559,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,1.0,110.0,7.0,9.0,21.0,0
