Algorithme,Accuracy,F1-score,Précision,Recall,AUC-ROC,Temps (s)
AdaBoost,0.5809,0.5809,0.5818,0.5809,0.6159,2.73
Gradient Boosting,0.5796,0.5789,0.5792,0.5796,0.6214,4.94
Decision Tree,0.5791,0.5785,0.5787,0.5791,0.6166,0.13
LightGBM,0.5773,0.5769,0.5769,0.5773,0.6187,0.29
Random Forest,0.576,0.5749,0.579,0.576,0.6205,0.96
MLP (réseau neurones),0.576,0.5749,0.5756,0.576,0.6139,5.02
XGBoost,0.5739,0.5735,0.5735,0.5739,0.6147,0.26
"KNN (n=11, sample 15K)",0.5338,0.5338,0.534,0.5338,0.5573,0.04
Logistic Regression,0.5191,0.5179,0.5182,0.5191,0.5429,1.1
Linear SVM,0.5188,0.5176,0.5179,0.5188,0.5428,0.13
Naive Bayes,0.5508,0.515,0.585,0.5508,0.5673,0.03
